Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
40,785,71,Jun 18,CHC,,BAL,L3-6,CG,4,4,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.260,.328,.474,.802,6,.92,-0.051,.64,-0.02%,-0.63,2.00,3.20,1B
41,786,72,Jun 19,CHC,@,PIT,W8-0,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.258,.324,.465,.789,6,.30,0.003,.20,0.00%,-0.74,3.00,3.00,1B
42,787,73,Jun 20,CHC,@,PIT,W4-0,CG,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,.255,.322,.460,.782,6,.77,-0.025,.58,-0.01%,0.02,9.00,12.50,1B
43,788,74,Jun 21,CHC,@,PIT,W8-3,8-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.252,.319,.454,.773,4,.16,-0.008,.13,0.00%,-0.55,0.00,0.00,PH 1B
44,789,75,Jun 24,CHC,@,STL,W9-1,GS-7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.253,.319,.452,.771,6,.65,-0.056,.49,-0.03%,-0.90,5.00,6.20,1B
45,790,76,Jun 25,CHC,@,STL,L5-7,3-GF,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.319,.450,.769,6,1.47,-0.044,1.30,-0.02%,-0.34,3.00,3.00,PH 1B
46,791,77,Jun 27,CHC,,PHI,L1-5,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.260,.323,.457,.780,7,.45,-0.006,.38,0.00%,0.12,10.00,12.20,1B
47,792,78,Jun 28,CHC,,PHI,L5-8,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.260,.322,.452,.774,6,.82,-0.065,.59,-0.03%,-0.85,3.00,3.00,1B
48,793,79,Jun 29,CHC,,PHI,L1-3,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.261,.325,.450,.775,6,1.04,-0.008,.65,0.00%,0.11,7.00,9.20,CF
49,794,80,Jun 30,CHC,,CLE,W10-1,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.329,.451,.780,6,.28,0.011,.14,0.00%,0.82,8.00,9.20,CF
50,795,81,Jul 1,CHC,,CLE,L0-6,CG,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.336,.463,.799,5,.86,0.013,.46,0.00%,0.59,11.00,12.00,CF
51,796,82,Jul 2,CHC,,CLE,L6-8,CG(10),5,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.276,.333,.458,.792,4,1.71,0.035,.82,0.01%,-0.60,5.00,6.50,CF
52,797,83,Jul 3,CHC,@,MIL,L6-8,GS-7,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.276,.332,.454,.786,6,.71,0.033,.36,0.01%,-0.02,7.00,9.70,CF
53,798,84,Jul 4,CHC,@,MIL,W7-6,CG(11),5,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.280,.338,.455,.793,7,1.44,0.045,.68,0.01%,0.89,14.00,18.90,CF
54,799,85,Jul 5,CHC,@,MIL,W4-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.341,.456,.796,6,1.22,0.051,.58,0.02%,0.29,8.00,9.20,CF
55,800,86,Jul 6,CHC,@,MIL,L5-6,CG,4,4,2,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.298,.352,.486,.838,6,.99,0.317,.54,0.10%,3.25,31.00,40.90,CF
56,801,87,Jul 7,CHC,@,NYY,W3-0,CG,4,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.303,.359,.502,.861,7,.84,0.123,.32,0.03%,1.53,26.00,33.90,CF
57,802,88,Jul 8,CHC,@,NYY,L3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.353,.493,.846,5,.60,-0.059,.26,-0.02%,-0.87,0.00,0.00,CF
58,803,89,Jul 9,CHC,@,NYY,W7-4,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.298,.355,.491,.846,5,.96,0.021,.34,0.00%,0.05,7.00,9.20,CF
59,804,90,Jul 14,CHC,,BOS,L3-8,CG,4,4,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,.302,.357,.518,.875,5,.53,0.133,.22,0.03%,1.57,28.00,37.40,CF
60,805,91,Jul 15,CHC,,BOS,W10-4,CG,5,4,2,2,0,0,1,4,1,0,1,0,0,0,0,0,0,0,.305,.362,.531,.893,4,.54,0.107,.18,0.02%,3.00,27.00,38.40,CF
61,806,92,Jul 16,CHC,,BOS,L5-11,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.358,.524,.882,5,.63,-0.049,.26,-0.01%,-0.69,0.00,0.00,1B
62,807,93,Jul 17,CHC,,WSN,L5-7,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.305,.360,.524,.884,4,1.48,0.088,.50,0.02%,0.47,13.00,15.20,CF 1B
63,808,94,Jul 18,CHC,,WSN,W17-3,CG,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.308,.365,.523,.888,4,.98,0.206,.31,0.04%,1.63,12.00,15.40,1B CF
64,809,95,Jul 19,CHC,,WSN,W8-3,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.311,.367,.527,.894,4,.64,0.011,.23,0.00%,-0.06,8.00,9.00,1B
65,810,96,Jul 20,CHC,,STL,L2-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.365,.522,.887,4,.52,0.011,.21,0.00%,-0.23,3.00,3.00,CF
66,811,97,Jul 21,CHC,,STL,W4-3,CG,4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.317,.371,.542,.913,4,.86,0.212,.26,0.04%,2.40,24.00,31.20,1B
67,812,98,Jul 22,CHC,,STL,W8-6,CG,5,5,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,.319,.371,.539,.910,4,2.09,0.251,.83,0.06%,1.48,14.00,20.00,1B
68,813,99,Jul 23,CHC,,STL,W7-2,CG,4,3,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,.319,.369,.549,.918,4,.63,0.184,.28,0.05%,1.40,18.00,25.70,CF
69,814,100,Jul 25,CHC,@,CHW,W7-3,CG,5,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,.314,.363,.540,.903,4,.43,-0.036,.24,-0.01%,-0.90,2.00,3.50,1B
70,815,101,Jul 26,CHC,@,CHW,W10-7,CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.312,.360,.545,.905,4,1.26,-0.062,.76,-0.02%,-0.30,14.00,18.70,1B
71,816,102,Jul 27,CHC,@,STL,W10-3,GS-8,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.317,.364,.546,.910,4,.34,0.017,.24,0.01%,0.76,11.00,12.20,1B
72,817,103,Jul 28,CHC,@,STL,W3-2,CG,4,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.319,.369,.546,.915,4,1.46,0.137,1.15,0.07%,0.95,7.00,9.00,CF 1B
73,818,104,Jul 29,CHC,@,STL,W5-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.315,.368,.540,.908,4,.40,-0.002,.35,0.00%,-0.26,2.00,3.00,1B
74,819,105,Jul 30,CHC,@,STL,L0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.314,.366,.536,.902,3,.52,-0.032,.52,-0.02%,-0.40,3.00,3.00,CF 1B
75,820,106,Jul 31,CHC,,CIN,L5-6,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.313,.365,.535,.900,4,1.24,-0.103,1.36,-0.07%,-0.69,7.00,9.20,CF 1B
76,821,107,Aug 1,CHC,,CIN,W20-9,CG,6,6,3,3,0,0,1,3,0,0,0,0,0,0,0,0,1,0,.317,.367,.545,.912,4,.47,0.198,.46,0.12%,2.57,33.00,44.10,CF
77,822,108,Aug 2,CHC,,CIN,W16-6,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,.316,.368,.541,.909,3,.65,0.063,.68,0.04%,1.94,12.00,15.50,CF 1B
78,823,109,Aug 3,CHC,,CIN,W5-3,CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.315,.366,.537,.903,4,1.13,0.063,1.32,0.04%,0.29,12.00,15.70,CF
79,824,110,Aug 4,CHC,,ATL,L0-8,GS-8,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.319,.369,.538,.907,4,.41,-0.010,.43,-0.01%,0.41,6.00,6.00,CF
80,825,111,Aug 5,CHC,,ATL,W8-6,CG,4,3,2,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,.322,.374,.543,.916,4,.59,0.141,.60,0.09%,2.56,21.00,27.90,CF
81,826,112,Aug 6,CHC,,ATL,W6-4,CG,4,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.326,.378,.547,.925,4,1.24,0.195,1.35,0.13%,1.60,21.00,27.90,CF
